Acholi
Alur 
Baamba 
Babukusu 
Babwisi 
Bafumbira 
Baganda 
Bagisu 
Bagungu 
Bagwe 
Bagwere 
Bahehe 
Bahororo 
Bakenyi 
Bakiga 
Bakonzo 
Banyabindi 
Banyankore 
Banyara 
Banyarwanda 
Banyole 
Banyoro 
Baruli 
Basamia 
Basoga 
Basongora 
Batagwenda 
Batoro 
Batuku 
Batwa 
Chope 
Dodoth 
Ethur 
Ik (Teuso) 
Iteso 
Jie 
Jonam 
Jopadhola 
Kakwa 
Karimojong 
Kebu (Okebu) 
Kuku 
Kumam 
Langi 
Lendu 
Lugbara 
Madi 
Mening 
Mvuba 
Napore 
Nubi 
Nyangia 
Pokot 
Sabiny 
So (Tepeth) 
Vonoma
